graph,nodes,max_degree,steps,perturbation,eta,delta,beta,beta_multiplier,certified,max_state_error,max_ic_error,ic_bound,max_local_state_jacobian_norm,conditional_jacobian_bound
random_0.1_1,32,6,64,equivariant_residual,0.3,0.001,35.78629418988888,1.0,True,1.694754936945795e-08,4.2010979584006236e-08,0.205018686599039,4.5183503305465385e-06,0.26634128382295746
random_0.1_1,32,6,64,equivariant_residual,0.3,0.001,53.67944128483332,1.5,True,2.2062637509207397e-12,5.504929845301376e-12,0.205018686599039,8.823109907972779e-10,0.3995119257344362
random_0.1_2,32,6,64,adversarial,0.0,0.001,7.0048222907186135,0.5,False,1.0,0.37433764008030757,0.21209610604805304,12.24662378977188,0.048984722278995266
random_0.1_2,32,6,64,adversarial,0.0,0.001,14.009644581437227,1.0,True,0.0009973040369168466,0.0020990053883545023,0.21209610604805304,0.09770558622580139,0.09796944455799053
random_0.1_2,32,6,64,adversarial,0.0,0.001,21.01446687215584,1.5,True,2.7447715757354654e-05,6.0551285794296916e-05,0.21209610604805304,0.004037482971768139,0.14695416683698578
random_0.1_2,32,6,64,equivariant_residual,0.0,0.001,7.0048222907186135,0.5,False,1.0,0.37433764008030757,0.21209610604805304,12.24662378977188,0.048984722278995266
random_0.1_2,32,6,64,equivariant_residual,0.0,0.001,14.009644581437227,1.0,True,0.0009973040369168466,0.0020990053883545023,0.21209610604805304,0.09770558622580139,0.09796944455799053
random_0.1_2,32,6,64,equivariant_residual,0.0,0.001,21.01446687215584,1.5,True,2.7447715757354654e-05,6.0551285794296916e-05,0.21209610604805304,0.004037482971768139,0.14695416683698578
random_0.1_2,32,6,64,adversarial,0.1,0.001,8.787219820163553,0.5,False,1.0,0.5341029772954236,0.21209610604805304,10.667461680203928,0.061449028202403735
random_0.1_2,32,6,64,adversarial,0.1,0.001,17.574439640327107,1.0,True,0.0009956964256890104,0.0020693932244584268,0.21209610604805304,0.1223696826382991,0.12289805640480747
random_0.1_2,32,6,64,adversarial,0.1,0.001,26.36165946049066,1.5,True,2.646166315565291e-05,5.835162694056706e-05,0.21209610604805304,0.004882884257415112,0.1843470846072112
random_0.1_2,32,6,64,equivariant_residual,0.1,0.001,8.787219820163553,0.5,False,1.0,0.26593259655272794,0.21209610604805304,15.227465327890533,0.06276579309245525
random_0.1_2,32,6,64,equivariant_residual,0.1,0.001,17.574439640327107,1.0,True,0.00015564796693768972,0.00034499061287540655,0.21209610604805304,0.01955525023948181,0.1255315861849105
random_0.1_2,32,6,64,equivariant_residual,0.1,0.001,26.36165946049066,1.5,True,1.8870874293448001e-06,4.2296857634127605e-06,0.21209610604805304,0.0003556886355027272,0.18829737927736573
