family,size_parameter,offset,beta,mae,limit_mae
barbell,100000000,1.9000000000000004,38.74136148790473,0.006137697750948782,0.0
barbell,100000000,1.9500000000000002,38.79136148790474,0.0042301436111127945,0.0
barbell,100000000,2.0,38.841361487904734,0.0029357905180879547,0.0
barbell,100000000,2.05,38.89136148790473,0.0020521695303968857,0.0
barbell,100000000,2.1000000000000005,38.941361487904736,0.0014449656691216742,0.0
barbell,100000000,2.1500000000000004,38.99136148790473,0.001024843231511677,0.0
barbell,100000000,2.2,39.04136148790474,0.0007321296021586963,0.0
barbell,100000000,2.25,39.091361487904734,0.0005267549613452582,0.0
barbell,100000000,2.3,39.14136148790473,0.00038165353907057054,0.0
barbell,100000000,2.3500000000000005,39.191361487904736,0.00027842865091713703,0.0
barbell,100000000,2.4000000000000004,39.24136148790473,0.00020449519042816785,0.0
barbell,100000000,2.45,39.29136148790474,0.00015118740458655567,0.0
barbell,100000000,2.5,39.341361487904734,0.0001124992262316849,0.0
barbell,100000000,2.55,39.39136148790473,8.424088486383491e-05,0.0
barbell,100000000,2.6000000000000005,39.441361487904736,6.347084111635923e-05,0.0
barbell,100000000,2.6500000000000004,39.49136148790473,4.811082030681951e-05,0.0
barbell,100000000,2.7,39.54136148790474,3.668331725380064e-05,0.0
barbell,100000000,2.75,39.591361487904734,2.8131506176991464e-05,0.0
barbell,100000000,2.8000000000000007,39.64136148790473,2.169493000602145e-05,0.0
barbell,100000000,2.8500000000000005,39.691361487904736,1.682317336112496e-05,0.0
barbell,100000000,2.9000000000000004,39.74136148790473,1.3115555632065652e-05,0.0
barbell,100000000,2.95,39.79136148790474,1.0278754226674917e-05,0.0
barbell,100000000,3.0,39.841361487904734,8.0968554812766e-06,0.0
barbell,100000000,3.0500000000000007,39.89136148790473,6.410068941268535e-06,0.0
barbell,100000000,3.1000000000000005,39.941361487904736,5.099515060522256e-06,0.0
barbell,100000000,3.1500000000000004,39.99136148790473,4.076294311521353e-06,0.0
barbell,100000000,3.2,40.04136148790474,3.2735908940419075e-06,0.0
barbell,100000000,3.25,40.091361487904734,2.6409388338561218e-06,0.0
barbell,100000000,3.3000000000000007,40.14136148790473,2.1400370228400065e-06,0.0
barbell,100000000,3.3500000000000005,40.191361487904736,1.7416794905326663e-06,0.0
barbell,100000000,3.4000000000000004,40.24136148790473,1.4234926825932559e-06,0.0
barbell,100000000,3.45,40.29136148790474,1.1682595831588694e-06,0.0
barbell,100000000,3.5,40.341361487904734,9.626726530698433e-07,0.0
barbell,100000000,3.5500000000000007,40.39136148790473,7.964015893720647e-07,0.0
barbell,100000000,3.6000000000000005,40.441361487904736,6.613932901830079e-07,0.0
barbell,100000000,3.6500000000000004,40.49136148790473,5.513438661552367e-07,0.0
barbell,100000000,3.7,40.54136148790474,4.612986959584595e-07,0.0
barbell,100000000,3.75,40.591361487904734,3.8734819164508863e-07,0.0
barbell,100000000,3.8000000000000007,40.64136148790473,3.2639540876745137e-07,0.0
barbell,100000000,3.8500000000000005,40.691361487904736,2.759778176144924e-07,0.0
barbell,100000000,3.9000000000000004,40.74136148790473,2.3413006654667085e-07,0.0
barbell,100000000,3.95,40.79136148790474,1.992779012972412e-07,0.0
barbell,100000000,4.0,40.841361487904734,1.701558485971384e-07,0.0
barbell,1000000000000000000000000,-2.0,108.52408446371419,0.5,0.5
barbell,1000000000000000000000000,-1.95,108.57408446371419,0.5,0.5
barbell,1000000000000000000000000,-1.9,108.62408446371418,0.5,0.5
barbell,1000000000000000000000000,-1.85,108.6740844637142,0.5,0.5
barbell,1000000000000000000000000,-1.8,108.72408446371419,0.5,0.5
barbell,1000000000000000000000000,-1.75,108.77408446371419,0.5,0.5
barbell,1000000000000000000000000,-1.7,108.82408446371419,0.5,0.5
barbell,1000000000000000000000000,-1.65,108.87408446371418,0.5,0.5
barbell,1000000000000000000000000,-1.6,108.9240844637142,0.5,0.5
barbell,1000000000000000000000000,-1.55,108.97408446371419,0.5,0.5
barbell,1000000000000000000000000,-1.5,109.02408446371419,0.5,0.5
barbell,1000000000000000000000000,-1.45,109.07408446371419,0.5,0.5
barbell,1000000000000000000000000,-1.4,109.12408446371418,0.5,0.5
barbell,1000000000000000000000000,-1.35,109.1740844637142,0.5,0.5
barbell,1000000000000000000000000,-1.2999999999999998,109.22408446371419,0.5,0.5
barbell,1000000000000000000000000,-1.25,109.27408446371419,0.5,0.5
barbell,1000000000000000000000000,-1.2,109.32408446371419,0.5,0.5
barbell,1000000000000000000000000,-1.15,109.37408446371418,0.5,0.5
barbell,1000000000000000000000000,-1.1,109.4240844637142,0.5,0.5
barbell,1000000000000000000000000,-1.0499999999999998,109.47408446371419,0.5,0.5
barbell,1000000000000000000000000,-1.0,109.52408446371419,0.5,0.5
barbell,1000000000000000000000000,-0.95,109.57408446371419,0.5,0.5
barbell,1000000000000000000000000,-0.8999999999999999,109.62408446371418,0.5,0.5
barbell,1000000000000000000000000,-0.8499999999999999,109.6740844637142,0.5,0.5
barbell,1000000000000000000000000,-0.7999999999999998,109.72408446371419,0.5,0.5
barbell,1000000000000000000000000,-0.75,109.77408446371419,0.5,0.5
barbell,1000000000000000000000000,-0.7,109.82408446371419,0.5,0.5
barbell,1000000000000000000000000,-0.6499999999999999,109.87408446371418,0.5,0.5
barbell,1000000000000000000000000,-0.5999999999999999,109.9240844637142,0.5,0.5
