family,size_parameter,represented_nodes,schedule,beta,mae,max_state_error_all_steps,max_state_error_final
path_copies,100000000,300000000,coefficient_1.5,29.278939548930712,0.3283394997168893,4.3870804970789974e-07,4.3870804970789974e-07
path_copies,100000000,300000000,coefficient_1.9,37.0866567619789,0.1900789342400214,8.845761619817532e-09,8.845761619817532e-09
path_copies,100000000,300000000,coefficient_2.0,39.03858606524095,0.11111111580723339,3.3333346235086628e-09,3.3333346235086628e-09
path_copies,100000000,300000000,coefficient_2.1,40.990515368503,0.05284754527026192,1.256095758398331e-09,1.256095758398331e-09
path_copies,100000000,300000000,coefficient_2.5,48.79823258155119,0.0012615997641740595,2.5327856281657158e-11,2.5327856281657158e-11
path_copies,100000000,300000000,coefficient_3.0,58.557879097861424,9.622226684768975e-06,1.9245008973634547e-13,1.9245008973634547e-13
path_copies,1000000000000,3000000000000,fixed_4,4.0,0.2509612204218716,0.3613372197192428,0.3613372197192428
path_copies,1000000000000,3000000000000,fixed_8,8.0,0.2843733341623724,0.027429300694919154,0.027429300694919154
path_copies,1000000000000,3000000000000,fixed_12,12.0,0.32333633554176594,0.0027021935296771067,0.0027021935296771067
path_copies,1000000000000,3000000000000,fixed_20,20.0,0.33303055279917443,4.552168962189536e-05,4.552168962189536e-05
path_copies,1000000000000,3000000000000,fixed_100,100.0,9.64375246326199e-11,1.9287498479639178e-22,1.9287498479639178e-22
path_copies,1000000000000,3000000000000,coefficient_1.5,43.09445010689499,0.33282753856890296,4.3869136233897263e-10,4.3869136233897263e-10
path_copies,1000000000000,3000000000000,coefficient_1.9,54.58630346873365,0.22590819551228822,1.4019896354966477e-12,1.4019896354966477e-12
path_copies,1000000000000,3000000000000,coefficient_2.0,57.459266809193316,0.11111111111180742,3.333333333523746e-13,3.333333333523746e-13
path_copies,1000000000000,3000000000000,coefficient_2.1,60.332230149652986,0.035416743756594204,7.926992395823618e-14,7.926992395823618e-14
path_copies,1000000000000,3000000000000,coefficient_2.5,71.82408351149165,0.0001265911866913013,2.5327856188387785e-16,2.5327856188387785e-16
path_copies,1000000000000,3000000000000,coefficient_3.0,86.18890021378998,9.622501721355074e-08,1.9245008972987485e-19,1.9245008972987485e-19
path_copies,100000000000000000000,300000000000000000000,fixed_4,4.0,0.2509612204221951,0.3613372197192428,0.3613372197192428
path_copies,100000000000000000000,300000000000000000000,fixed_8,8.0,0.28437333416972715,0.027429300694919154,0.027429300694919154
path_copies,100000000000000000000,300000000000000000000,fixed_12,12.0,0.3233363356234302,0.0027021935296771067,0.0027021935296771067
path_copies,100000000000000000000,300000000000000000000,fixed_20,20.0,0.333030557680504,4.552168962189536e-05,4.552168962189536e-05
path_copies,100000000000000000000,300000000000000000000,fixed_100,100.0,0.0093725885584622,1.9287498479639178e-22,1.9287498479639178e-22
