family,n,m,gap,tau,normalized,prediction,absolute_error,represented_only,weight_scale,scale,schedule,distance_max,distance_mae,mean_max,mean_mae,closeness_mae,invalid_closeness_nodes
triangle_copies,900,,,1.234567901234568e-06,False,,,True,1.0,fixed,n^-2,8.557372599415913e-07,2.8524575331386376e-07,4.2786862985977336e-07,2.852457532398489e-07,1.2677592649742073e-07,0
triangle_copies,900,,,1.234567901234568e-06,True,,,True,1.0,fixed,n^-2,8.557372599415913e-07,5.704915066277275e-07,8.557372599415913e-07,5.704915065537127e-07,4.120213633237076e-07,0
triangle_copies,900,,,1.3717421124828533e-09,False,,,True,1.0,fixed,n^-3,9.508192011509209e-10,3.1693973371697365e-10,4.75409489553158e-10,3.169396597021053e-10,1.4086206275483923e-10,0
triangle_copies,900,,,1.3717421124828533e-09,True,,,True,1.0,fixed,n^-3,9.508192011509209e-10,6.338794674339473e-10,9.508192011509209e-10,6.33879393419079e-10,4.5780179647181285e-10,0
triangle_copies,900,,,1.234567901234568e-06,False,,,True,0.0011111111111111111,shrinking,n^-2,8.55737259950265e-07,2.85245753316755e-07,4.278686299751325e-07,2.85245753316755e-07,0.10271484026884536,0
triangle_copies,900,,,1.234567901234568e-06,True,,,True,0.0011111111111111111,shrinking,n^-2,8.557372599504818e-07,5.70491506633799e-07,8.557372599504818e-07,5.704915066338714e-07,0.33353336722245785,0
triangle_copies,900,,,1.3717421124828533e-09,False,,,True,0.0011111111111111111,shrinking,n^-3,9.50819177732154e-10,3.16939725910718e-10,4.75409588866077e-10,3.16939725910718e-10,0.00011409833390037723,0
triangle_copies,900,,,1.3717421124828533e-09,True,,,True,0.0011111111111111111,shrinking,n^-3,9.50819177732154e-10,6.33879451821436e-10,9.50819177732154e-10,6.33879451821436e-10,0.0003708192270247916,0
triangle_copies,3000,,,1.1111111111111111e-07,False,,,True,1.0,fixed,n^-2,7.701635329482315e-08,2.567211776494105e-08,3.8508176647411574e-08,2.567211776494105e-08,1.140983041381105e-08,0
triangle_copies,3000,,,1.1111111111111111e-07,True,,,True,1.0,fixed,n^-2,7.701635329482315e-08,5.13442355298821e-08,7.701635329482315e-08,5.13442355298821e-08,3.708194562523914e-08,0
